UP,Ano,Fração_Colhida,Volume_Colhido_m3,Receita_R$
AC_108,4,1.0,104.00011857,85758.497772822
AC_109,1,1.0,34.313927397,28295.2645315662
AC_109,4,1.0,34.313927397,28295.2645315662
AC_109,5,1.0,34.313927397,28295.2645315662
AC_109,9,3.6186267,124.16929386064571,102389.99971748845
AC_109,10,1.0,34.313927397,28295.2645315662
AC_110,10,1.0,47.317448468,39017.9680067128
AC_111,4,0.7,131.6003040884,108517.61075129465
AC_112,1,1.0,1.956466161,1613.3019963606
AC_112,2,1.0,1.956466161,1613.3019963606
AC_112,3,1.0,1.956466161,1613.3019963606
AC_112,4,1.0,1.956466161,1613.3019963606
AC_112,5,1.0,1.956466161,1613.3019963606
AC_112,6,1.0,1.956466161,1613.3019963606
AC_112,7,1.0,1.956466161,1613.3019963606
AC_112,8,1.0,1.956466161,1613.3019963606
AC_112,9,1.0,1.956466161,1613.3019963606
AC_112,10,1.0,1.956466161,1613.3019963606
AC_113,3,0.7,70.0585559842,57770.28526457132
AC_114,4,1.0,140.698444585,116019.93740479101
AC_115,3,3.1743756,529.8657556187422,436927.30208321486
AC_118,3,0.7,58.1033158951,47911.994287099464
AC_119,5,1.0,46.921808038,38691.722908134805
AC_128,10,0.7,156.81492743069998,129309.58915935521
AC_129,9,1.0,149.257132048,123077.4310867808
AC_129,10,1.0,149.257132048,123077.4310867808
AC_13,7,1.0,127.956956245,105513.306119627
AC_130,6,0.7,81.6152721972,67299.95345381112
AC_133,3,1.0,190.783569312,157320.13125467522
AC_133,10,0.015466896,2.9508296250574957,2433.254108822411
AC_134,5,1.0,51.736995057,42662.326124002204
AC_134,9,1.0,51.736995057,42662.326124002204
AC_135,1,1.0,146.368650183,120695.5889409018
AC_136,5,0.7,34.15614790629999,28165.159563534973
AC_137,4,1.0,79.46767889,65529.048012694
AC_137,6,1.0,79.46767889,65529.048012694
AC_138,2,0.7,56.212560933199995,46352.877745516715
AC_14,3,1.0,4.047046637,3337.1946568702
AC_14,5,1.0,4.047046637,3337.1946568702
AC_14,6,1.0,4.047046637,3337.1946568702
AC_140,2,0.7,101.62103209089999,83796.70306215613
AC_141,2,1.0,102.46129563400001,84489.5843797964
AC_148,3,1.0,176.324181826,145396.9203337196
AC_149,10,1.0,74.919276501,61778.4354027246
AC_15,2,0.7,58.1293504988,47933.46242131048
AC_150,4,1.0,195.68985033,161365.850582118
AC_157,10,0.7,105.2299707326,86772.63386610195
AC_159,1,1.0,13.879761516,11445.2513460936
AC_159,5,1.0,13.879761516,11445.2513460936
AC_160,9,1.0,21.160359418,17448.8323760828
AC_161,5,1.0,113.83146306500001,93865.42444339901
AC_162,4,1.0,113.91683244,93935.820030024
AC_162,9,1.0,113.91683244,93935.820030024
AC_164,6,1.0,122.234503993,100794.57199262781
AC_164,7,1.0,122.234503993,100794.57199262781
AC_172,7,0.7,117.1423129821,96595.55128503966
AC_179,2,1.0,110.595639783,91197.1645650618
AC_179,10,1.0,110.595639783,91197.1645650618
AC_180,6,1.0,150.267585691,123910.6511607986
AC_180,7,1.0,150.267585691,123910.6511607986
AC_181,2,1.0,118.566970786,97770.3241101356
AC_181,3,1.0,118.566970786,97770.3241101356
AC_181,4,1.0,118.566970786,97770.3241101356
AC_181,5,1.0,118.566970786,97770.3241101356
AC_181,10,1.0,118.566970786,97770.3241101356
AC_182,2,1.0,37.669389755,31062.178791972998
AC_182,9,1.0,37.669389755,31062.178791972998
AC_183,4,1.0,122.515754163,101026.4908828098
AC_183,7,1.0,122.515754163,101026.4908828098
AC_184,3,1.0,46.699382536,38508.3108391856
AC_185,5,1.0,18.12734579,14947.809338434
AC_186,3,0.7,21.1718806327,17458.33276972442
AC_19,8,1.0,126.9065385,104647.1316471
AC_192,10,1.0,184.930652937,152493.8164118502
AC_193,3,1.0,217.938792143,179712.3280011178
AC_194,1,1.0,120.638230275,99478.284684765
AC_20,2,1.0,26.184174975,21591.470684385
AC_20,10,1.0,26.184174975,21591.470684385
AC_208,7,0.7,73.66934188249999,60747.7393163095
AC_209,5,1.0,90.90066136600001,74956.68536240362
AC_210,4,1.0,38.023062894,31353.8176623924
AC_211,2,1.0,60.048427562,49515.9333676252
AC_212,2,0.7,5.8955020551,4861.43099463546
AC_22,5,1.0,30.556673033,25197.0325830118
AC_220,9,1.0,123.211527244,101600.2253654024
AC_227,4,1.0,118.067556654,97358.5072168884
AC_23,1,1.0,109.090605001,89956.11288382461
AC_23,3,1.0,109.090605001,89956.11288382461
