Unidade de Producao,Subunidade,Subparcela,Especie,Volume Total (m3),Numero de Arvores,Preco (R$/m3),Valor Estimado (R$)
AC_108,1,1,cacaui,0.06873797541131174,1,600.0,41.242785246787044
AC_108,1,1,morototo,0.37838650932712986,1,650.0,245.9512310626344
AC_108,1,1,paxiubinha,0.1820623587461433,2,600.0,109.23741524768597
AC_108,1,1,ucuuba vermelha folha grande,0.045523375751289036,1,650.0,29.590194238337872
AC_108,1,2,urtigao,0.2278653545218213,1,600.0,136.7192127130928
AC_108,1,5,apui miudo,2.2598896489256024,3,750.0,1694.9172366942018
AC_108,1,6,gameleira,0.14688625917835457,1,650.0,95.47606846593047
AC_108,1,6,imbirindiba amarela,1.2706835259700389,1,750.0,953.0126444775292
AC_108,1,6,seringarana,0.15933219147884428,1,650.0,103.56592446124878
AC_108,1,7,mulungu,1.592786813950233,1,650.0,1035.3114290676515
AC_108,1,8,burra leiteira,1.3284299372304862,1,650.0,863.479459199816
AC_108,1,9,urtigao,0.2530189292967075,3,600.0,151.81135757802448
AC_108,1,10,burra leiteira,1.0494392497339342,2,650.0,682.1355123270572
AC_108,1,10,morta,0.9085065960113818,1,600.0,545.1039576068291
AC_108,1,10,mulungu,0.39315523060593827,1,650.0,255.55089989385988
AC_108,2,1,jito preto,0.09439371593617188,1,650.0,61.35591535851172
AC_108,2,1,ucuuba vermelha,0.048892206763457666,1,650.0,31.779934396247484
AC_108,2,3,gameleira,9.458574408898208,1,650.0,6148.0733657838355
AC_108,2,3,jito,0.28325722929572317,1,650.0,184.11719904222005
AC_108,2,3,mulateirana,0.16913499848442975,1,700.0,118.39449893910083
AC_108,2,3,pequi,0.18542814159102675,1,650.0,120.52829203416738
AC_108,2,4,abacaba,0.053168443944153786,1,600.0,31.901066366492273
AC_108,2,4,carapanauba amarela,1.839269821748781,1,750.0,1379.4523663115858
AC_108,2,4,murmuru,0.17297787684518529,1,600.0,103.78672610711118
AC_108,2,4,pama preta,0.06501041708223315,1,650.0,42.25677110345155
AC_108,2,4,urtigao,0.2406049726890443,1,600.0,144.36298361342656
AC_108,2,4,urucurana vermelha,0.05948023037391464,1,650.0,38.662149743044516
AC_108,2,5,jaca brava,0.21558298525851716,1,650.0,140.12894041803617
AC_108,2,5,mulateirana,0.34553230103472055,1,700.0,241.8726107243044
AC_108,2,5,murmuru,0.2053740260836625,2,600.0,123.2244156501975
AC_108,2,5,paxiubao,0.04866201699814606,1,600.0,29.197210198887635
AC_108,2,6,carapanauba amarela,0.2562785655508191,1,750.0,192.20892416311435
AC_108,2,6,falso pau brasil,0.9724389072508619,1,750.0,729.3291804381464
AC_108,2,6,guariuba roxa,0.08291075313235263,1,700.0,58.03752719264684
AC_108,2,6,paxiubao,1.1666337353258531,2,600.0,699.9802411955119
AC_108,2,6,ucuuba vermelha,0.9891807330091642,1,650.0,642.9674764559568
AC_108,2,7,abiorana casca fina,0.048812029241830056,1,650.0,31.727819007189535
AC_108,2,7,apui amarelo,0.5766317786681258,1,750.0,432.4738340010943
AC_108,2,7,carapanauba amarela,0.3243229283903625,1,750.0,243.24219629277187
AC_108,2,7,jutai,0.258442391589811,1,600.0,155.0654349538866
AC_108,2,7,muiratinga grande,0.061518707624894406,1,650.0,39.987159956181365
