bioma;uf;mun;lon_pc;lat_pc;UA;Subunidade;Subparcela;Data;Sem_arvores_na_UA;Narv;Nfuste;Especie_campo;DAP;DB1;DB2;SA;QF;PS;AFF;HT;HF;PL;HM;HAB;Obs;Tocos;MB
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;1;1;19/10/2018;N;1;1;morototo;23.4;;;2;3;2;N;19.5;18;N;S;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;1;1;19/10/2018;N;2;1;ucuuba vermelha folha grande;11.8;;;3;4;3;N;8;5;S;S;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;1;1;19/10/2018;N;3;1;cacaui;13.8;;;3;4;3;N;9;8;N;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;1;1;19/10/2018;N;4;1;paxiubinha;18.7;;;4;4;3;N;11;11;N;N;5;Dap - 2,0;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;1;1;19/10/2018;N;5;1;paxiubinha;11.7;;;4;4;3;N;5.5;5.5;N;N;5;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;1;2;19/10/2018;N;6;1;urtigao;26.4;;;3;3;3;N;8;5;S;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;1;5;19/10/2018;N;7;1;apui miudo;41.5;;;2;2;2;N;17;10;N;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;1;5;19/10/2018;N;7;2;apui miudo;30.4;;;2;2;3;N;15;8;N;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;1;5;19/10/2018;N;7;3;apui miudo;33.4;;;2;2;2;N;17;11;N;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;1;6;19/10/2018;N;8;1;seringarana;16.5;;;2;2;2;N;16;10;N;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;1;6;19/10/2018;N;9;1;gameleira;12;;;3;3;1;N;31;16;S;S;1;Dap - 1,60;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;1;6;19/10/2018;N;10;1;imbirindiba amarela;39.3;;;3;3;2;N;24;18;S;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;1;7;19/10/2018;N;11;1;mulungu;44;;;1;2;2;N;24;18;N;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;1;8;19/10/2018;N;12;1;burra leiteira;39.5;;;1;1;2;N;25;13;N;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;1;9;19/10/2018;N;13;1;urtigao;14.7;;;3;3;3;N;9;5;S;N;1;Dap - 0,60;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;1;9;19/10/2018;N;14;1;urtigao;18;;;3;3;3;N;9;6;S;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;1;9;19/10/2018;N;15;1;urtigao;12.4;;;3;3;3;N;9.5;6;S;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;1;10;19/10/2018;N;16;1;burra leiteira;33.4;;;2;2;2;N;25;18;S;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;1;10;19/10/2018;N;17;1;morta;39.4;;;4;4;2;N;16;16;S;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;1;10;19/10/2018;N;18;1;burra leiteira;13.8;;;3;3;3;N;14;10;N;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;1;10;19/10/2018;N;20;1;mulungu;23.6;;;3;3;2;N;20;15;N;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;1;19/10/2018;N;1;1;ucuuba vermelha;10.5;;;2;2;3;N;11.5;10;N;S;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;1;19/10/2018;N;2;1;jito preto;12.7;;;1;2;2;N;16;14;N;S;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;3;19/10/2018;N;3;1;mulateirana;17;;;3;3;2;N;16;12;N;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;3;19/10/2018;N;4;1;gameleira;105.4;;;2;2;2;N;25;17;S;N;1;Dap - 2,0;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;3;19/10/2018;N;5;1;pequi;17.8;;;3;3;2;N;16;14;S;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;3;19/10/2018;N;6;1;jito;22;;;3;3;2;N;16;8;S;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;4;19/10/2018;N;7;1;abacaba;10.4;;;1;2;3;N;13;10;N;N;5;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;4;19/10/2018;N;8;1;carapanauba amarela;45;;;1;2;1;N;27;23;S;S;1;Dap - 1,70;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;4;19/10/2018;N;9;1;urucurana vermelha;11;;;3;3;3;N;13;10;N;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;4;19/10/2018;N;10;1;pama preta;11.5;;;2;2;3;N;13;9;S;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;4;19/10/2018;N;11;1;morto;26.7;;;4;4;3;N;13;13;N;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;4;19/10/2018;N;12;1;urtigao;24.2;;;3;3;3;N;10.5;6;N;N;1;Estrangulando;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;4;19/10/2018;N;13;1;murmuru;19.4;;;3;3;3;N;12;7;N;N;5;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;5;19/10/2018;N;14;1;murmuru;15.4;;;3;2;3;N;10;6;N;N;5;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;5;19/10/2018;N;15;1;jaca brava;20.3;;;1;2;3;N;14;11;N;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;5;19/10/2018;N;16;1;murmuru;16.5;;;3;3;3;N;10.5;7;N;N;5;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;5;19/10/2018;N;17;1;mulateirana;25.7;;;3;4;3;N;14;6;N;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;5;19/10/2018;N;18;1;paxiubao;12.2;;;1;1;3;N;8;5;N;N;5;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;6;19/10/2018;N;19;1;paxiubao;29.6;;;3;2;2;N;16;13;N;N;5;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;6;19/10/2018;N;20;1;falso pau brasil;35;;;1;2;2;N;23;15;S;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;6;19/10/2018;N;21;1;ucuuba vermelha;35.3;;;2;2;2;N;23;15;S;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;6;19/10/2018;N;22;1;guariuba roxa;14.5;;;3;4;3;N;10;6;S;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;6;19/10/2018;N;23;1;paxiubao;28.7;;;3;3;2;N;23;20;N;N;5;Dap - 1,6;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;6;19/10/2018;N;24;1;carapanauba amarela;20.4;;;3;3;2;N;17;10;N;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;7;19/10/2018;N;25;1;apui amarelo;33.2;;;3;3;3;N;14;10;S;N;1;;0;N
Amazônia;AC;Tarauacá;-70.92031718;-8.459940997;AC_108;2;7;19/10/2018;N;26;1;carapanauba amarela;21;;;3;3;2;N;21;17;S;N;1;;0;N
