Ano,Volume (m³),Meta Volume (m³),Receita (R$),Meta Receita (R$),Custo (R$),Lucro (R$),Desvio Volume (m³)
1,192.41,146.12,120527.54,89279.66,30311.33,90216.21,46.29
2,192.41,146.12,120527.54,89279.66,30311.33,90216.21,46.29
3,192.42,146.12,120527.54,89279.66,30311.47,90216.07,46.29
4,192.52,146.12,120527.54,89279.66,30320.9,90206.64,46.39
5,192.64,146.12,120527.54,89279.66,30384.45,90143.09,46.52
6,193.66,146.12,120527.54,89279.66,30631.52,89896.02,47.53
7,194.61,146.12,120527.54,89279.66,31373.46,89154.08,48.48
8,194.14,146.12,120527.54,89279.66,31625.64,88901.9,48.01
9,194.49,146.12,120527.54,89279.66,31634.96,88892.58,48.36
10,194.86,146.12,120527.54,89279.66,31674.38,88853.16,48.73
11,195.13,146.12,120527.54,89279.66,31792.57,88734.97,49.0
12,195.96,146.12,120527.54,89279.66,31897.9,88629.64,49.84
13,197.07,146.12,120527.54,89279.66,31988.0,88539.54,50.95
14,197.27,146.12,120527.54,89279.66,32128.66,88398.88,51.14
15,197.27,146.12,120527.54,89279.66,32206.99,88320.55,51.14
16,196.8,146.12,120527.54,89279.66,32244.22,88283.32,50.68
17,196.18,146.12,120527.54,89279.66,32304.46,88223.08,50.06
18,195.92,146.12,120527.54,89279.66,32367.13,88160.41,49.8
19,196.15,146.12,120527.54,89279.66,32403.79,88123.75,50.02
20,194.84,146.12,120527.54,89279.66,32471.04,88056.5,48.72
21,195.6,146.12,120527.54,89279.66,32558.82,87968.72,49.47
22,195.99,146.12,120527.54,89279.66,32596.28,87931.26,49.86
23,195.8,146.12,120527.54,89279.66,32620.67,87906.87,49.67
24,195.41,146.12,120527.54,89279.66,32647.19,87880.35,49.29
25,195.62,146.12,120527.54,89279.66,32676.78,87850.76,49.49
26,194.68,146.12,120527.54,89279.66,32737.52,87790.02,48.55
27,194.61,146.12,120527.54,89279.66,32747.64,87779.9,48.48
28,194.61,146.12,120527.54,89279.66,32747.76,87779.78,48.48
29,194.33,146.12,120527.54,89279.66,32756.59,87770.95,48.21
30,194.3,146.12,120527.54,89279.66,32768.9,87758.64,48.17
