Ano,Volume (m³),Meta Volume (m³),Receita (R$),Meta Receita (R$),Custo (R$),Lucro (R$),Desvio Volume (m³)
1,197.27,146.12,120527.54,89279.66,19214.59,101312.95,51.14
2,197.27,146.12,120527.54,89279.66,19244.67,101282.88,51.14
3,197.27,146.12,120527.54,89279.66,19244.67,101282.88,51.14
4,197.27,146.12,120527.54,89279.66,19244.67,101282.88,51.14
5,197.27,146.12,120527.54,89279.66,19398.26,101129.28,51.14
6,197.27,146.12,120527.54,89279.66,20112.6,100414.93,51.14
7,197.27,146.12,120527.54,89279.66,22284.28,98243.26,51.14
8,197.27,146.12,120527.54,89279.66,23354.16,97173.38,51.14
9,197.27,146.12,120527.54,89279.66,23725.47,96802.07,51.14
10,197.27,146.12,120527.54,89279.66,23915.95,96611.59,51.14
11,197.27,146.12,120527.54,89279.66,24436.67,96090.87,51.14
12,197.27,146.12,120527.54,89279.66,24662.49,95865.05,51.14
13,197.27,146.12,120527.54,89279.66,25480.26,95047.28,51.14
14,197.24,146.12,120527.54,89279.66,26288.22,94239.32,51.11
15,197.27,146.12,120527.54,89279.66,26487.09,94040.45,51.14
16,197.27,146.12,120527.54,89279.66,26779.4,93748.14,51.14
17,197.27,146.12,120527.54,89279.66,27047.14,93480.4,51.14
18,196.48,146.12,120527.54,89279.66,27204.07,93323.47,50.36
19,194.96,146.12,120527.54,89279.66,27660.67,92866.87,48.84
20,197.21,146.12,120527.54,89279.66,27916.18,92611.36,51.09
21,197.27,146.12,120527.54,89279.66,28166.27,92361.27,51.14
22,197.27,146.12,120527.54,89279.66,28264.14,92263.4,51.14
23,197.05,146.12,120527.54,89279.66,28509.78,92017.76,50.92
24,196.87,146.12,120527.54,89279.66,28577.54,91950.0,50.75
25,196.3,146.12,120527.54,89279.66,29120.96,91406.58,50.18
26,195.78,146.12,120527.54,89279.66,29393.22,91134.32,49.65
27,195.88,146.12,120527.54,89279.66,29573.82,90953.72,49.75
28,195.9,146.12,120527.54,89279.66,29718.45,90809.09,49.77
29,196.85,146.12,120527.54,89279.66,29880.66,90646.88,50.72
30,196.91,146.12,120527.54,89279.66,29910.27,90617.27,50.79
