UP;Subunidade;Subparcela;Volume_m3;Num_arvores;Volume_m3_ha;Arvores_ha
AC_108;1;1;0.674710219;5;26.98840877;200
AC_108;1;2;0.227865355;1;9.114614181;40
AC_108;1;5;2.259889649;3;90.39558596;120
AC_108;1;6;1.576901977;3;63.07607907;120
AC_108;1;7;1.592786814;1;63.71147256;40
AC_108;1;8;1.328429937;1;53.13719749;40
AC_108;1;9;0.253018929;3;10.12075717;120
AC_108;1;10;2.351101076;4;94.04404305;160
AC_108;2;1;0.143285923;2;5.731436908;80
AC_108;2;3;10.09639478;4;403.8557911;160
AC_108;2;4;2.430511763;6;97.22047051;240
AC_108;2;5;0.815151329;5;32.60605318;200
AC_108;2;6;3.467442694;6;138.6977078;240
AC_108;2;7;1.667108857;6;66.68435427;240
AC_108;2;8;2.692580062;4;107.7032025;160
AC_108;2;9;1.548579321;5;61.94317286;200
AC_108;2;10;1.300392519;3;52.01570078;120
AC_108;2;11;1.858676235;1;74.3470494;40
AC_108;2;12;1.291121488;1;51.64485953;40
AC_108;2;14;3.308822487;1;132.3528995;40
AC_108;2;15;3.7916152;1;151.664608;40
AC_108;2;16;9.221650003;3;368.8660001;120
AC_108;2;19;3.412294251;2;136.49177;80
AC_108;3;1;1.68032769;7;67.21310759;280
AC_108;3;2;0.337196971;1;13.48787883;40
AC_108;3;3;4.739319745;4;189.5727898;160
AC_108;3;4;2.35449143;7;94.17965718;280
AC_108;3;5;0.644859148;3;25.79436593;120
AC_108;3;7;1.636854864;3;65.47419456;120
AC_108;3;8;0.197479324;1;7.899172944;40
AC_108;3;9;1.852494263;3;74.09977054;120
AC_108;3;10;0.663158261;3;26.52633044;120
AC_108;3;16;2.571284761;1;102.8513904;40
AC_108;3;17;1.480523348;1;59.2209339;40
AC_108;4;1;0.630718982;4;25.22875929;160
AC_108;4;2;1.840913826;6;73.63655305;240
AC_108;4;3;1.162445415;7;46.49781658;280
AC_108;4;4;0.192266163;3;7.690646527;120
AC_108;4;5;2.611463963;6;104.4585585;240
AC_108;4;6;0.603532978;4;24.14131912;160
AC_108;4;7;0.329616404;5;13.18465615;200
AC_108;4;8;2.868695176;4;114.747807;160
AC_108;4;9;2.675602488;8;107.0240995;320
AC_108;4;10;6.483947239;6;259.3578896;240
AC_108;4;12;2.806830791;2;112.2732316;80
AC_108;4;14;3.269493622;1;130.7797449;40
AC_108;4;18;3.05627085;1;122.250834;40
AC_109;1;1;3.256434858;9;130.2573943;360
AC_109;1;2;0.092316511;1;3.692660425;40
AC_109;1;4;4.061273713;5;162.4509485;200
AC_109;1;5;2.309458812;6;92.37835249;240
AC_109;1;10;0.120294721;2;4.811788823;80
AC_109;1;16;4.358674867;2;174.3469947;80
AC_109;1;19;2.372576901;1;94.90307605;40
AC_109;2;1;0.552072413;6;22.08289654;240
AC_109;2;2;1.12971833;3;45.1887332;120
AC_109;2;3;0.568270772;3;22.73083087;120
AC_109;2;4;0.459641338;1;18.38565354;40
AC_109;2;5;0.253810046;3;10.15240185;120
AC_109;2;6;1.124026635;5;44.96106541;200
